    contributors  coordinates                      created_at                                           entities                                  extended_entities  ...  \
"70  <a href=""http://twitter.com/#!/download/ipad"" ...  RT @Dodarey: @DR8801 @SykesCharlie Charlie, le...  1459294819126      False  {'utc_offset': -14400, 'profile_image_url_http...  "
"71  <a href=""http://twitter.com/download/android"" ...  RT @RonBasler1: @DavidWhitDennis @realDonaldTr...  1459294818995      False  {'utc_offset': None, 'profile_image_url_https'...  "
"72  <a href=""http://twitter.com/download/android"" ...  RT @RockCliffOne: Remember when the idea of a ...  1459294819145      False  {'utc_offset': None, 'profile_image_url_https'...  "
"73  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @HillaryClinton: ""Every day, another Republ...  1459294819214      False  {'utc_offset': -14400, 'profile_image_url_http...  "
"74  <a href=""http://twitter.com/download/iphone"" r...  @realDonaldTrump @MELANIATRUMP Get Them Good M...  1459294819213      False  {'utc_offset': None, 'profile_image_url_https'...  "
"75  <a href=""http://twitter.com/download/iphone"" r...  @realDonaldTrump Its too bad Cruz doesn't have...  1459294818943      False  {'utc_offset': None, 'profile_image_url_https'...  "
"76  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  I just saw this. I'm speechless.  https://t.co...  1459294819036      False  {'utc_offset': -14400, 'profile_image_url_http...  "
"77  <a href=""http://twitter.com/#!/download/ipad"" ...  RT @Dodarey: @DR8801 @SykesCharlie Charlie, le...  1459294819126      False  {'utc_offset': -14400, 'profile_image_url_http...  "
"78  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  I just saw this. I'm speechless.  https://t.co...  1459294819036      False  {'utc_offset': -14400, 'profile_image_url_http...  "
"79  <a href=""http://ifttt.com"" rel=""nofollow"">IFTT...  Trump campaign chief charged with battery http...  1459294819194      False  {'utc_offset': None, 'profile_image_url_https'...  "
"80  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @HillaryClinton: ""Every day, another Republ...  1459294819214      False  {'utc_offset': -14400, 'profile_image_url_http...  "
"81  <a href=""http://twitter.com/download/iphone"" r...  @realDonaldTrump @MELANIATRUMP Get Them Good M...  1459294819213      False  {'utc_offset': None, 'profile_image_url_https'...  "
"82  <a href=""http://twitter.com/download/android"" ...  RT @RockCliffOne: Remember when the idea of a ...  1459294819145      False  {'utc_offset': None, 'profile_image_url_https'...  "
"83  <a href=""http://twitter.com/download/android"" ...  RT @immigrant4trump: @immigrant4trump msm, cab...  1459294819349      False  {'utc_offset': None, 'profile_image_url_https'...  "
"84  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  @ErinBurnett @Bakari_Sellers @benfergusonshow ...  1459294819267      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"85  <a href=""http://twitter.com/download/android"" ...  RT @immigrant4trump: @immigrant4trump msm, cab...  1459294819349      False  {'utc_offset': None, 'profile_image_url_https'...  "
"86  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  @ErinBurnett @Bakari_Sellers @benfergusonshow ...  1459294819267      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"87  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  @noreallyhowcome @TVineberg Learn about Bernie...  1459294819144      False  {'utc_offset': -14400, 'profile_image_url_http...  "
"88  <a href=""http://twitter.com/download/iphone"" r...  RT @GlendaJazzey: Donald Trump’s Campaign Fina...  1459294819448      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"89  <a href=""http://twitter.com/download/iphone"" r...  Trump who prides himself on the ability to spo...  1459294819429      False  {'utc_offset': -18000, 'profile_image_url_http...  "
"90  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  Judicial Watch: Obama Administration Withholds...  1459294819386      False  {'utc_offset': None, 'profile_image_url_https'...  "
"91  <a href=""http://twitter.com/download/android"" ...  I don't understand how anyone can support a ha...  1459294819462      False  {'utc_offset': None, 'profile_image_url_https'...  "
"92  <a href=""http://www.myplume.com/"" rel=""nofollo...  RT @TUSK81: LOUDER FOR THE PEOPLE IN THE BACK ...  1459294819519      False  {'utc_offset': None, 'profile_image_url_https'...  "
"93  <a href=""http://twitter.com/download/iphone"" r...  RT @loopzoop: Well...put it back https://t.co/...  1459294819750      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"94  <a href=""http://twitter.com"" rel=""nofollow"">Tw...      Donald Trump: Victim. https://t.co/qvK17ZnUTZ  1459294819728      False  {'utc_offset': -18000, 'profile_image_url_http...  "
"95  <a href=""http://twitter.com/download/iphone"" r...  RT @claytoncubitt: Stop asking Bernie supporte...  1459294819805      False  {'utc_offset': None, 'profile_image_url_https'...  "
"96  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  Kasich is gonna fuck this up for Ted Cruz  htt...  1459294819766      False  {'utc_offset': -18000, 'profile_image_url_http...  "
"97  <a href=""http://twitter.com/download/iphone"" r...  RT @akaMaude13: Seriously can't make this up. ...  1459294819802      False  {'utc_offset': None, 'profile_image_url_https'...  "
"98  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  Kasich is gonna fuck this up for Ted Cruz  htt...  1459294819766      False  {'utc_offset': -18000, 'profile_image_url_http...  "
"99  <a href=""http://twitter.com/download/iphone"" r...  @marklevinshow try reporting this truth. https...  1459294819769      False  {'utc_offset': -21600, 'profile_image_url_http...  "
